School,Curriculum_Rating_1to5,Languages_Rating_1to5,Monthly_Cost_IDR,Year1_Cost_IDR,Year2_Cost_IDR,TwoYear_Total_IDR,Quality_Score_100,Cost_Score_100,Optimized_Score_100,Quality_Rank,Cost_Rank,Optimized_Rank,Home_Base_Address,Home_Plus_Code,Continuity_Note
Kiwi Kids,4.2,4.5,1515000,25250000,18180000,43430000,86.18,82.67,84.82,10,2,1,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Unity School,4.6,4.5,2103333,43640000,25240000,68880000,91.27,55.30,77.28,6,4,2,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Akhyar IIS,3.5,3.0,1140000,35230000,13680000,48910000,66.36,91.50,76.14,17,1,3,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Nassa School,4.8,4.5,2555917,55809004,30671004,86480008,93.82,44.79,74.75,2,8,4,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Kidea Bekasi Timur,4.2,4.5,2692500,32660000,32310000,64970000,86.18,52.83,73.21,9,6,5,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Madina Islamic School Galaxy,4.6,4.2,2583333,46800000,31000000,77800000,89.09,47.08,72.75,8,7,6,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Kinderfield Bekasi,4.7,5.0,3415000,60980004,40980004,101960008,96.18,35.79,72.70,1,13,7,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
HighScope Bekasi,4.7,4.5,3476667,53220004,41720004,94940008,92.55,37.19,71.02,5,12,8,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Almacita School,4.5,4.5,2880000,60260000,34560000,94820000,90.00,40.28,70.66,7,11,9,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Salsabila Islamic School,4.0,3.5,1905000,44965000,22860000,67825000,76.36,58.74,69.51,14,3,10,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Little Key,4.2,4.2,2906667,47180000,34880000,82060000,84.00,43.51,68.25,12,9,11,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Sekolah Victory Plus (SVP),4.8,4.5,4500000,89300000,54000000,143300000,93.82,26.22,67.53,3,17,12,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Global Prestasi School,4.7,4.5,4395000,92340000,52740000,145080000,92.55,26.36,66.81,4,16,13,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Al-Azhar 11 Kemang,4.5,3.8,3266667,68615000,39200000,107815000,84.91,35.47,65.68,11,14,14,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Sekolah Alam Bekasi,4.1,2.5,2350000,39850000,28200000,68050000,70.36,52.97,63.60,15,5,15,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Embun Pagi Islamic School,4.0,4.5,4238333,72660000,50860000,123520000,83.64,29.25,62.49,13,15,16,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
Islamic Green School,4.0,2.5,3070833,47300000,36850000,84150000,69.09,42.00,58.56,16,10,17,"Jl. Pulo Sirih Timur 3 Blok CA No.8, RT.006/RW.013, Pekayon Jaya, Bekasi Selatan, Bekasi, West Java 17148","PXMF+XQ Pekayon Jaya, Bekasi, West Java","Graduates generally get seat and discount (assumed 30%) for elementary; noted only, excluded from ratings and cost scores"
